{'diffusion_config': {'T': 200, 'beta_0': 0.0001, 'beta_T': 0.02}, 'wavenet_config': {'in_channels': 8, 'out_channels': 8, 'num_res_layers': 36, 'res_channels': 256, 'skip_channels': 256, 'diffusion_step_embed_dim_in': 128, 'diffusion_step_embed_dim_mid': 512, 'diffusion_step_embed_dim_out': 512, 's4_lmax': 1000, 's4_d_state': 64, 's4_dropout': 0.0, 's4_bidirectional': 1, 's4_layernorm': 1, 'label_embed_dim': 128, 'label_embed_classes': 71}, 'train_config': {'output_directory': '../results', 'ckpt_iter': 'max', 'iters_per_ckpt': 4000, 'iters_per_logging': 100, 'n_iters': 100000, 'learning_rate': 0.0002, 'batch_size': 8}, 'trainset_config': {'segment_length': 1000, 'sampling_rate': 100, 'finetune_dataset': 'ptbxl_all'}, 'gen_config': {'output_directory': '../results', 'ckpt_path': '../results/'}}
output directory ../results/ch256_T200_betaT0.02
Successfully loaded model at iteration 48000
iteration: 48100 	loss: 0.02836364135146141
iteration: 48200 	loss: 0.054565735161304474
iteration: 48300 	loss: 0.01219864096492529
iteration: 48400 	loss: 0.018857667222619057
iteration: 48500 	loss: 0.02747751772403717
iteration: 48600 	loss: 0.027316929772496223
iteration: 48700 	loss: 0.044689472764730453
iteration: 48800 	loss: 0.035833120346069336
iteration: 48900 	loss: 0.011625861749053001
iteration: 49000 	loss: 0.05566626042127609
iteration: 49100 	loss: 0.015360311605036259
iteration: 49200 	loss: 0.050251394510269165
iteration: 49300 	loss: 0.023635320365428925
iteration: 49400 	loss: 0.045067716389894485
iteration: 49500 	loss: 0.008294771425426006
iteration: 49600 	loss: 0.015766309574246407
iteration: 49700 	loss: 0.0137550113722682
iteration: 49800 	loss: 0.01772894524037838
iteration: 49900 	loss: 0.013920880854129791
iteration: 50000 	loss: 0.023621656000614166
iteration: 50100 	loss: 0.06752526015043259
iteration: 50200 	loss: 0.0322284959256649
iteration: 50300 	loss: 0.019412435591220856
iteration: 50400 	loss: 0.013839016668498516
iteration: 50500 	loss: 0.06185959652066231
iteration: 50600 	loss: 0.0068051451817154884
iteration: 50700 	loss: 0.029215408489108086
iteration: 50800 	loss: 0.029767949134111404
iteration: 50900 	loss: 0.03172391653060913
iteration: 51000 	loss: 0.03277076408267021
iteration: 51100 	loss: 0.02873639389872551
iteration: 51200 	loss: 0.01306669320911169
iteration: 51300 	loss: 0.008272464387118816
iteration: 51400 	loss: 0.07970526069402695
iteration: 51500 	loss: 0.023173194378614426
